,City,quadrat,species,TraitName,value
1,Edmonton,1,Diplotaxis muralis,SLA,22.082
2,Edmonton,1,Drosera rotundifolia,SLA,41.55988559
3,Edmonton,1,Dryopteris carthusiana,SLA,24.13285714
4,Edmonton,1,Echinochloa crus-galli,SLA,28.18295243
5,Edmonton,1,Eleocharis erythropoda,SLA,14.15227852
6,Edmonton,1,Eleocharis uniglumis,SLA,14.372
7,Edmonton,1,Elymus canadensis,SLA,21.87959701
8,Edmonton,1,Elymus repens,SLA,25.83543171
9,Edmonton,1,Ephedra sinica,SLA,3.973300635
10,Edmonton,1,Epilobium angustifolium,SLA,18.08406483
11,Edmonton,1,Epilobium ciliatum,SLA,41.31818182
12,Edmonton,1,Equisetum arvense,SLA,16.06534319
13,Edmonton,1,Equisetum palustre,SLA,7.794
14,Edmonton,1,Equisetum sylvaticum,SLA,24.40581798
15,Edmonton,1,Erigeron annuus,SLA,28.09305288
16,Edmonton,1,Erigeron philadelphicus,SLA,29.2184076
17,Edmonton,1,Erigeron speciosus,SLA,21.29838504
18,Edmonton,1,Eriophorum angustifolium,SLA,9.730025242
19,Edmonton,1,Erodium cicutarium,SLA,25.84736729
20,Edmonton,1,Eruca vesicaria,SLA,15.37724692
21,Edmonton,1,Erysimum cheiranthoides,SLA,25.6
22,Edmonton,1,Euphorbia cyparissias,SLA,20.515
23,Edmonton,1,Fallopia convolvulus,SLA,21.883804
24,Edmonton,1,Festuca rubra,SLA,20.27057375
25,Edmonton,1,Fragaria vesca,SLA,24.48717949
26,Edmonton,1,Fragaria virginiana,SLA,17.37634554
27,Edmonton,1,Frangula alnus,SLA,23.24454167
28,Edmonton,1,Fraxinus pennsylvanica,SLA,18.44833003
29,Edmonton,1,Galeopsis tetrahit,SLA,28.81111111
30,Edmonton,1,Galium aparine,SLA,34.16122455
31,Edmonton,1,Galium boreale,SLA,14.68428781
32,Edmonton,1,Galium triflorum,SLA,35.71428571
33,Edmonton,1,Gentianella amarella,SLA,28
34,Edmonton,1,Geranium carolinianum,SLA,13.67989056
35,Edmonton,1,Geranium richardsonii,SLA,18.22200115
36,Edmonton,1,Ginkgo biloba,SLA,26.93916581
37,Edmonton,1,Glechoma hederacea,SLA,36.02505991
38,Edmonton,1,Glyceria grandis,SLA,37.85
39,Edmonton,1,Glycyrrhiza lepidota,SLA,15.04672897
40,Edmonton,1,Grindelia squarrosa,SLA,10.01001001
41,Edmonton,1,Gymnocarpium dryopteris,SLA,57.82749548
42,Edmonton,1,Helianthus annuus,SLA,11.55011541
43,Edmonton,1,Helianthus maximiliani,SLA,6.349206349
44,Edmonton,1,Heracleum sphondylium,SLA,21.38319208
45,Edmonton,1,Hesperis matronalis,SLA,33.03163435
46,Edmonton,1,Hieracium umbellatum,SLA,19.65
47,Edmonton,1,Hordeum jubatum,SLA,23.55232576
48,Edmonton,1,Humulus lupulus,SLA,21.72642916
49,Edmonton,1,Hyoscyamus niger,SLA,42.25062147
50,Edmonton,1,Hypericum perforatum,SLA,25.84784317
51,Edmonton,1,Impatiens glandulifera,SLA,38.3
52,Edmonton,1,Juncus effusus,SLA,11.14538462
53,Edmonton,1,Juncus inflexus,SLA,4.612
54,Edmonton,1,Juncus longistylis,SLA,4.726638567
55,Edmonton,1,Juniperus communis,SLA,11.79668995
56,Edmonton,1,Knautia arvensis,SLA,19.76818398
57,Edmonton,1,Lamium amplexicaule,SLA,21.67733333
58,Edmonton,1,Lamium maculatum,SLA,31.62
59,Edmonton,1,Lapsana communis,SLA,51.28465608
60,Edmonton,1,Lavandula angustifolia,SLA,27.72088157
61,Edmonton,1,Lemna trisulca,SLA,15.64285714
62,Edmonton,1,Lepidium campestre,SLA,22.6
63,Edmonton,1,Lepidium densiflorum,SLA,31.99319004
64,Edmonton,1,Leucanthemum vulgare,SLA,19.63590226
65,Edmonton,1,Linaria vulgaris,SLA,19.98333333
66,Edmonton,1,Linnaea borealis,SLA,33.33333333
67,Edmonton,1,Lobelia siphilitica,SLA,14.24501425
68,Edmonton,1,Lotus corniculatus,SLA,22.29546114
69,Edmonton,1,Lycium barbarum,SLA,11.4
70,Edmonton,1,Lythrum salicaria,SLA,21.04374844
71,Edmonton,1,Maianthemum canadense,SLA,34.5
72,Edmonton,1,Marrubium vulgare,SLA,14.2
73,Edmonton,1,Matricaria discoidea,SLA,28.71640662
74,Edmonton,1,Medicago lupulina,SLA,27.95847775
75,Edmonton,1,Medicago sativa,SLA,21.92874583
76,Edmonton,1,Melilotus albus,SLA,31.25
77,Edmonton,1,Melilotus officinalis,SLA,18.69256475
78,Edmonton,1,Nepeta cataria,SLA,28.33682896
79,Edmonton,1,Panicum capillare,SLA,27.35044754
80,Edmonton,1,Papaver rhoeas,SLA,31.65
81,Edmonton,1,Pastinaca sativa,SLA,32.93333333
82,Edmonton,1,Petasites frigidus,SLA,21.83074178
83,Edmonton,1,Phalaris arundinacea,SLA,29.91298619
84,Edmonton,1,Picea glauca,SLA,9.023302841
85,Edmonton,1,Pinus nigra,SLA,4.988605793
86,Edmonton,1,Plantago major,SLA,19.21753432
87,Edmonton,1,Platycodon grandiflorus,SLA,19.82067103
88,Edmonton,1,Polygonum aviculare,SLA,24.10771288
89,Edmonton,1,Populus balsamifera,SLA,14.05348631
90,Edmonton,1,Populus tremuloides,SLA,14.4471715
91,Edmonton,1,Portulaca oleracea,SLA,17.47752773
92,Edmonton,1,Prunella vulgaris,SLA,25.81820369
93,Edmonton,1,Prunus serotina,SLA,15.62238239
94,Edmonton,1,Puccinellia distans,SLA,28.89743426
95,Edmonton,1,Pyrola asarifolia,SLA,13.71151949
96,Edmonton,1,Pyrola elliptica,SLA,20.1
97,Edmonton,1,Quercus macrocarpa,SLA,18.24017094
98,Edmonton,1,Ranunculus acris,SLA,23.77452224
99,Edmonton,1,Ranunculus circinatus,SLA,32.997
100,Edmonton,1,Rhamnus cathartica,SLA,19.4923213
101,Edmonton,1,Rorippa palustris,SLA,51.16545455
102,Edmonton,1,Rosa acicularis,SLA,30.80127043
103,Edmonton,1,Rosa woodsii,SLA,15.81459562
104,Edmonton,1,Rubus arcticus,SLA,29.62873447
105,Edmonton,1,Rudbeckia hirta,SLA,19.36240064
106,Edmonton,1,Salvia officinalis,SLA,10.6
107,Edmonton,1,Sambucus racemosa,SLA,23.65514722
108,Edmonton,1,Saponaria officinalis,SLA,23.35
109,Edmonton,1,Securigera varia,SLA,25.63981043
110,Edmonton,1,Senecio eremophilus,SLA,25.2586373
111,Edmonton,1,Senecio viscosus,SLA,22.46666667
112,Edmonton,1,Senecio vulgaris,SLA,27.24835169
113,Edmonton,1,Sequoia sempervirens,SLA,11.018
114,Edmonton,1,Setaria viridis,SLA,26.96617218
115,Edmonton,1,Silene latifolia,SLA,21.625
116,Edmonton,1,Silene noctiflora,SLA,21.9
117,Edmonton,1,Sinapis alba,SLA,14.6
118,Edmonton,1,Sinapis arvensis,SLA,28.65
119,Edmonton,1,Sisymbrium altissimum,SLA,20.8
120,Edmonton,1,Sisymbrium loeselii,SLA,20.55333333
121,Edmonton,1,Sisymbrium officinale,SLA,26.71666667
122,Edmonton,1,Solanum nigrum,SLA,25.225
123,Edmonton,1,Solidago canadensis,SLA,18.01481061
124,Edmonton,1,Solidago gigantea,SLA,18.22020202
125,Edmonton,1,Solidago nemoralis,SLA,20.00234429
126,Edmonton,1,Sonchus arvensis,SLA,21.54444444
127,Edmonton,1,Sonchus asper,SLA,40.0028459
128,Edmonton,1,Sorbus aucuparia,SLA,14.48189318
129,Edmonton,1,Spergularia marina,SLA,15.49643537
130,Edmonton,1,Stipa comata,SLA,16.95
131,Edmonton,1,Symphoricarpos albus,SLA,17.83333333
132,Edmonton,1,Symphyotrichum ericoides,SLA,11.76470588
133,Edmonton,1,Symphyotrichum falcatum,SLA,14.1871545
134,Edmonton,1,Symphyotrichum laeve,SLA,15.4649584
135,Edmonton,1,Syringa vulgaris,SLA,14.18888889
136,Edmonton,1,Tanacetum parthenium,SLA,38.05802469
137,Edmonton,1,Tanacetum vulgare,SLA,21.21383109
138,Edmonton,1,Taxus baccata,SLA,7.485927068
139,Edmonton,1,Thuja occidentalis,SLA,17.62327231
140,Edmonton,1,Tragopogon dubius,SLA,17.09715047
141,Edmonton,1,Tragopogon pratensis,SLA,18.82363636
142,Edmonton,1,Trifolium hybridum,SLA,25.58519184
143,Edmonton,1,Trifolium pratense,SLA,23.99781398
144,Edmonton,1,Trifolium repens,SLA,31.33099229
145,Edmonton,1,Tripleurospermum inodorum,SLA,23.05031673
146,Edmonton,1,Ulmus americana,SLA,15.99664081
147,Edmonton,1,Ulmus pumila,SLA,9.725793213
148,Edmonton,1,Urtica dioica,SLA,28.71753214
149,Edmonton,1,Valeriana officinalis,SLA,35.53571429
150,Edmonton,1,Verbascum thapsus,SLA,15.79535676
151,Edmonton,1,Verbena hastata,SLA,21.82568976
152,Edmonton,1,Veronica persica,SLA,37.45279518
153,Edmonton,1,Viburnum opulus,SLA,19.51662167
154,Edmonton,1,Vicia cracca,SLA,24.82200746
155,Edmonton,1,Viola arvensis,SLA,24.32
156,Edmonton,1,Viola canadensis,SLA,38.65160547
157,Edmonton,1,Viola palustris,SLA,37.00058824
158,Edmonton,1,Viola tricolor,SLA,28.33
159,Edmonton,1,Zea mays,SLA,31.77190734
160,Edmonton,2,Pyrola asarifolia,SLA,13.71151949
161,Edmonton,2,Sonchus arvensis,SLA,21.54444444
162,Edmonton,4,Epilobium angustifolium,SLA,18.08406483
163,Edmonton,4,Salix arctica,SLA,11.49425287
164,Halifax,1,Digitaria sanguinalis,SLA,37.28571429
165,Halifax,1,Drosera intermedia,SLA,31.896
166,Halifax,1,Drosera rotundifolia,SLA,41.55988559
167,Halifax,1,Dulichium arundinaceum,SLA,16.16292226
168,Halifax,1,Echinacea purpurea,SLA,7.22
169,Halifax,1,Echium vulgare,SLA,14.45
170,Halifax,1,Eleocharis obtusa,SLA,17.81578479
171,Halifax,1,Elymus virginicus,SLA,21.85247068
172,Halifax,1,Empetrum nigrum,SLA,9.2945731
173,Halifax,1,Epilobium angustifolium,SLA,18.08406483
174,Halifax,1,Epilobium ciliatum,SLA,41.31818182
175,Halifax,1,Epilobium hirsutum,SLA,28.25516132
176,Halifax,1,Equisetum arvense,SLA,16.06534319
177,Halifax,1,Equisetum hyemale,SLA,23.83129898
178,Halifax,1,Erigeron annuus,SLA,28.09305288
179,Halifax,1,Erigeron strigosus,SLA,21.26666667
180,Halifax,1,Erodium cicutarium,SLA,25.84736729
181,Halifax,1,Euonymus alatus,SLA,26.05721045
182,Halifax,1,Euphorbia cyparissias,SLA,20.515
183,Halifax,1,Euphorbia helioscopia,SLA,33.83333333
184,Halifax,1,Fagus grandifolia,SLA,41.51294203
185,Halifax,1,Fagus sylvatica,SLA,14.24868756
186,Halifax,1,Fallopia convolvulus,SLA,21.883804
187,Halifax,1,Fargesia nitida,SLA,25.2812364
188,Halifax,1,Festuca rubra,SLA,20.27057375
189,Halifax,1,Fragaria virginiana,SLA,17.37634554
190,Halifax,1,Frangula alnus,SLA,23.24454167
191,Halifax,1,Fraxinus americana,SLA,37.7702549
192,Halifax,1,Fraxinus excelsior,SLA,13.35353632
193,Halifax,1,Fraxinus nigra,SLA,18.34025894
194,Halifax,1,Fumaria officinalis,SLA,28.53800866
195,Halifax,1,Galeopsis tetrahit,SLA,28.81111111
196,Halifax,1,Galium odoratum,SLA,26.5
197,Halifax,1,Gaylussacia dumosa,SLA,10.21870212
198,Halifax,1,Geranium robertianum,SLA,25.98467012
199,Halifax,1,Geranium sanguineum,SLA,41.71392532
200,Halifax,1,Glechoma hederacea,SLA,36.02505991
201,Halifax,1,Gleditsia triacanthos,SLA,31.1
202,Halifax,1,Glyceria canadensis,SLA,18.54646915
203,Halifax,1,Hamamelis virginiana,SLA,21.59771976
204,Halifax,1,Hedera helix,SLA,11.50888319
205,Halifax,1,Helianthus annuus,SLA,11.55011541
206,Halifax,1,Heracleum mantegazzianum,SLA,38.8
207,Halifax,1,Hesperis matronalis,SLA,33.03163435
208,Halifax,1,Hieracium maculatum,SLA,20.114
209,Halifax,1,Hieracium umbellatum,SLA,19.65
210,Halifax,1,Hordeum jubatum,SLA,23.55232576
211,Halifax,1,Humulus lupulus,SLA,21.72642916
212,Halifax,1,Hypericum perforatum,SLA,25.84784317
213,Halifax,1,Hypochaeris radicata,SLA,36.6434942
214,Halifax,1,Ilex aquifolium,SLA,7.122717247
215,Halifax,1,Ilex glabra,SLA,9.803230233
216,Halifax,1,Impatiens capensis,SLA,53.40375
217,Halifax,1,Impatiens glandulifera,SLA,38.3
218,Halifax,1,Iris versicolor,SLA,21.65829787
219,Halifax,1,Juncus articulatus,SLA,18.80449405
220,Halifax,1,Juncus bufonius,SLA,16.27375446
221,Halifax,1,Juncus effusus,SLA,11.14538462
222,Halifax,1,Juniperus communis,SLA,11.79668995
223,Halifax,1,Kalmia angustifolia,SLA,9.125063133
224,Halifax,1,Kalmia polifolia,SLA,13
225,Halifax,1,Lactuca serriola,SLA,19.33902404
226,Halifax,1,Lamium amplexicaule,SLA,21.67733333
227,Halifax,1,Lamium maculatum,SLA,31.62
228,Halifax,1,Lapsana communis,SLA,51.28465608
229,Halifax,1,Larix laricina,SLA,14.62905689
230,Halifax,1,Lathyrus pratensis,SLA,24.55304906
231,Halifax,1,Leersia oryzoides,SLA,31.72800743
232,Halifax,1,Lemna minor,SLA,18.69855072
233,Halifax,1,Lepidium campestre,SLA,22.6
234,Halifax,1,Lepidium virginicum,SLA,13.22983168
235,Halifax,1,Leucanthemum vulgare,SLA,19.63590226
236,Halifax,1,Linaria vulgaris,SLA,19.98333333
237,Halifax,1,Linnaea borealis,SLA,33.33333333
238,Halifax,1,Lobelia inflata,SLA,36.97058214
239,Halifax,1,Lotus corniculatus,SLA,22.29546114
